"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Ignacio Luis R. Cardozo","","","","","Ignacio Luis R. Cardozo","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Jorge Carmona","","","","","Jorge Carmona","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Florencio A. Carranza","","","","","Florencio A. Carranza","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Raul Alfonso Corpus Carrizo","","","","","Raul Alfonso Corpus Carrizo","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Luis Santos Casale","","","","","Luis Santos Casale","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Juan Manuel Casella","","","","","Juan Manuel Casella","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Antonio Cassia","","","","","Antonio Cassia","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Juan Carlos Castiella","","","","","Juan Carlos Castiella","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Miguel A. Castillo","","","","","Miguel A. Castillo","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Antonio Gino Cavallaro","","","","","Antonio Gino Cavallaro","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
