"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Leopoldo Suárez","","","","","Leopoldo Suárez","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1963-12-10","1966-12-10","year","year"
"Juan Carlos Pugliese","","","","","Juan Carlos Pugliese","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1964-08-19","1966-06-28","",""
"Carlos María Gelly y Obes","","","","","Carlos María Gelly y Obes","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1966-10-01","1967-06-01","",""
"Antonio R. Lanusse","","","","","Antonio R. Lanusse","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1966-12-10","1967-12-10","year","year"
"Jorge Néstor Salimei","","","","","Jorge Néstor Salimei","Argentina","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","1966-06-29","1967-01-03","",""
"Jorge N. Salimei","","","","","Jorge N. Salimei","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1966-06-29","1966-12-10","",""
"Rubens G. San Sebastián","","","","","Rubens G. San Sebastián","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1966-10-13","1970-06-24","",""
"Emilio Federico Van Peborgh","","","","","Emilio Federico Van Peborgh","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1967-12-10","1969-12-10","year","year"
"José R. Cáceres Monié","","","","","José R. Cáceres Monié","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1969-12-10","1971-12-10","year","year"
"Adalbert KRIEGER VASENA","","","","","Adalbert KRIEGER VASENA","Argentina","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","1967-01-03","1969-06-11","",""
"José Mariano Astigueta","","","","","José Mariano Astigueta","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1967-06-01","1969-06-01","",""
"José María DAGNINO PASTORE","","","","","José María DAGNINO PASTORE","Argentina","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","1969-06-11","1970-06-17","",""
"Conrado José Etchebarne","","","","","Conrado José Etchebarne","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1969-10-23","1970-06-17","",""
"Dardo Pérez Guilhou","","","","","Dardo Pérez Guilhou","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1969-06-01","1970-06-01","",""
"José Luis Cantini","","","","","José Luis Cantini","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1970-07-01","1971-05-01","",""
"Aldo Ferrer","","","","","Aldo Ferrer","Argentina","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","1970-10-26","1971-05-28","",""
"Walter Kugler","","","","","Walter Kugler","Argentina","","Ministro Agricultura y Ganadería","Ministro Agricultura y Ganadería","Ministro","Ejecutivo","No Electivo","","Ministro Agricultura y Ganadería","Ministro Agricultura y Ganadería","Ministro","1970-06-08","1971-03-23","",""
"Juan Alejandro Luco","","","","","Juan Alejandro Luco","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1970-10-07","1971-03-23","",""
"Carlos MOYANO LLERENA","","","","","Carlos MOYANO LLERENA","Argentina","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Economía y Trabajo","Ministro Economía y Trabajo","Ministro","1970-06-18","1970-10-26","",""
"Jaime Luis Enrique Perriaux","","","","","Jaime Luis Enrique Perriaux","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1970-07-03","1971-10-11","",""
"Ismael Edgardo Bruno Quijano","","","","","Ismael Edgardo Bruno Quijano","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1971-10-11","1972-07-11","",""
"Cayetano A. Licciardo","","","","","Cayetano A. Licciardo","Argentina","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","Ejecutivo","No Electivo","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","1971-10-11","1972-10-13","",""
"Gustavo Malek","","","","","Gustavo Malek","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1971-05-01","1973-05-01","",""
"Juan A. QUILICI","","","","","Juan A. QUILICI","Argentina","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","Ejecutivo","No Electivo","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","1971-06-01","1971-10-11","",""
"Rubens G. San Sebastián","","","","","Rubens G. San Sebastián","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1971-03-30","1973-05-25","",""
"Gervasio Ramón Carlos Colombres","","","","","Gervasio Ramón Carlos Colombres","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1972-07-11","1973-05-25","",""
"Jorge WEHBE","","","","","Jorge WEHBE","Argentina","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","Ejecutivo","No Electivo","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","1972-10-13","1973-05-24","",""
"Eduardo Aguirre Obarrio","","","","","Eduardo Aguirre Obarrio","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1973-12-10","1973-12-10","year","year"
"Antonio Juan Benítez","","","","","Antonio Juan Benítez","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1973-05-25","1975-07-11","",""
"José B. GELBARD","","","","","José B. GELBARD","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1973-05-25","1974-10-21","",""
"José B. GELBARD","","","","","José B. GELBARD","Argentina","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","Ejecutivo","No Electivo","","Ministro Hacienda y Finanzas","Ministro Hacienda y Finanzas","Ministro","1973-05-25","1973-05-25","",""
"José López Rega","","","","","José López Rega","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1973-12-10","1975-12-10","year","year"
"Ricardo Otero","","","","","Ricardo Otero","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1973-03-25","1975-06-29","",""
"Ángel Federico Robledo","","","","","Ángel Federico Robledo","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1973-12-10","1974-12-10","year","year"
"Jorge Alberto Taiana","","","","","Jorge Alberto Taiana","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1973-05-25","1974-08-01","",""
"Alfredo Gomez Morales","","","","","Alfredo Gomez Morales","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1974-10-21","1975-06-02","",""
"Oscar Ivanissevich","","","","","Oscar Ivanissevich","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1974-08-01","1975-08-01","",""
"Adolfo M. Savino","","","","","Adolfo M. Savino","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1974-12-10","1975-07-11","","year"
"Federico Pedro Arrighi","","","","","Federico Pedro Arrighi","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1975-08-01","1976-03-01","",""
"Pedro José BONANNI","","","","","Pedro José BONANNI","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1975-07-22","1975-08-14","",""
"Cecilio Conditi","","","","","Cecilio Conditi","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1975-06-20","1975-11-08","",""
"Antonio Francisco Cafiero","","","","","Antonio Francisco Cafiero","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1975-08-14","1976-02-03","",""
"Jorge E. Garrido","","","","","Jorge E. Garrido","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1975-12-10","1975-12-10","year","year"
"Antonio Francisco Cafiero","","","","","Antonio Francisco Cafiero","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1975-08-14","1976-02-03","",""
"Ernesto Abelardo Corvalán Nanclares","","","","","Ernesto Abelardo Corvalán Nanclares","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1975-07-11","1976-01-16","",""
"Carlos Federico Ruckauf","","","","","Carlos Federico Ruckauf","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1975-11-08","1976-03-02","",""
"Carlos Federico Ruckauf","","","","","Carlos Federico Ruckauf","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1975-07-01","1976-03-01","",""
"Celestino Rodrigo","","","","","Celestino Rodrigo","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1975-06-02","1975-07-22","",""
"Julio Juan Bardi","","","","","Julio Juan Bardi","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1981-12-10","year","year"
"Ricardo Pedro Bruera","","","","","Ricardo Pedro Bruera","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1976-03-24","1977-05-01","",""
"José Alberto Deheza","","","","","José Alberto Deheza","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1976-01-15","1976-03-12","",""
"José A. Deheza","","","","","José A. Deheza","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1976-02-18","1976-03-24","",""
"Carlos Emery","","","","","Carlos Emery","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1976-12-10","year","year"
"Aníbal V. Demarco","","","","","Aníbal V. Demarco","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1976-12-10","year","year"
"Jorge A. Fraga","","","","","Jorge A. Fraga","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1981-12-10","year","year"
"Julio A. Gómez","","","","","Julio A. Gómez","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1976-03-29","1978-11-06","",""
"Ricardo C. Guardo","","","","","Ricardo C. Guardo","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1976-01-23","1976-02-18","",""
"José María Klix","","","","","José María Klix","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1976-12-10","1978-12-10","year","year"
"Joaquín de LAS HERAS","","","","","Joaquín de LAS HERAS","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1976-03-24","1976-03-29","",""
"Horacio T. Liendo","","","","","Horacio T. Liendo","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1976-03-29","1979-08-02","",""
"Lucio H. Mazzola","","","","","Lucio H. Mazzola","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1976-03-24","1976-03-26","",""
"José Alfredo Martínez de Hoz","","","","","José Alfredo Martínez de Hoz","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1976-03-29","1981-03-29","",""
"Emilio MONDELLI","","","","","Emilio MONDELLI","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1976-02-03","1976-03-24","",""
"Augusto Pedro Saffores","","","","","Augusto Pedro Saffores","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1976-03-12","1976-03-29","",""
"Rodolfo A. Roballos","","","","","Rodolfo A. Roballos","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1976-12-10","year","year"
"Miguel Unamuno","","","","","Miguel Unamuno","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1976-03-02","1976-03-24","",""
"Carlos A. Villone","","","","","Carlos A. Villone","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1976-12-10","1976-12-10","year","year"
"Tomás C. Vottero","","","","","Tomás C. Vottero","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1976-12-10","1976-12-10","year","year"
"Rafael Juan Llerena Amadeo","","","","","Rafael Juan Llerena Amadeo","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1978-08-01","1981-03-01","",""
"David R. de la R. de la Riva","","","","","David R. de la R. de la Riva","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1978-12-10","1981-12-10","year","year"
"Alberto Rodriguez Varela","","","","","Alberto Rodriguez Varela","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1978-11-06","1981-03-27","",""
"Llamil Reston","","","","","Llamil Reston","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1979-08-02","1981-12-21","",""
"Roberto T. ALEMANN","","","","","Roberto T. ALEMANN","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1981-12-22","1982-07-02","",""
"Jorge Aguado","","","","","Jorge Aguado","Argentina","","Ministro Agricultura y Ganadería","Ministro Agricultura y Ganadería","Ministro","Ejecutivo","No Electivo","","Ministro Agricultura y Ganadería","Ministro Agricultura y Ganadería","Ministro","1981-03-29","1981-12-12","",""
"Norberto Couto","","","","","Norberto Couto","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1981-12-10","1981-12-10","year","year"
"Carlos Burundarena","","","","","Carlos Burundarena","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1981-03-01","1981-12-01","",""
"Amadeo Frugoli","","","","","Amadeo Frugoli","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1981-03-29","1981-12-21","",""
"Carlos A. Lacoste","","","","","Carlos A. Lacoste","Argentina","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","Ejecutivo","No Electivo","","Ministro Bienestar Social","Ministro Bienestar Social","Ministro","1981-12-10","1982-12-10","year","year"
"Cayetano Antonio Licciardo","","","","","Cayetano Antonio Licciardo","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1981-12-01","1983-12-01","",""
"Julio César Porcile","","","","","Julio César Porcile","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1981-12-22","1982-06-30","",""
"Lucas Jaime Lennon","","","","","Lucas Jaime Lennon","Argentina","","Ministro de Justicia","Ministro de Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Justicia","Ministro de Justicia","Ministro","1981-12-22","1983-12-07","",""
"Lorenzo Juan SIGAUT","","","","","Lorenzo Juan SIGAUT","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1981-03-29","1981-12-21","",""
"Adolfo Artaza","","","","","Adolfo Artaza","Argentina","","Ministro Acción Social","Ministro Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Acción Social","Ministro Acción Social","Ministro","1982-09-22","1983-12-10","",""
"José María DAGNINO PASTORE","","","","","José María DAGNINO PASTORE","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1982-07-02","1982-08-24","",""
"Julio J. Martínez Vivot","","","","","Julio J. Martínez Vivot","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1982-12-10","1983-12-10","year","year"
"Héctor F. Villaveirán","","","","","Héctor F. Villaveirán","Argentina","","Ministro Trabajo","Ministro Trabajo","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo","Ministro Trabajo","Ministro","1982-02-07","1983-09-12","",""
"Jorge WEHBE","","","","","Jorge WEHBE","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1982-08-25","1983-12-09","",""
"Carlos Román Santiago Alconada Aramburú","","","","","Carlos Román Santiago Alconada Aramburú","Argentina","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","1983-12-10","1986-06-30","",""
"Bernardo GRINSPUN","","","","","Bernardo GRINSPUN","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1983-12-10","1985-02-18","",""
"Raúl A. Borrás","","","","","Raúl A. Borrás","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1983-12-10","1985-12-10","year","year"
"Oscar Mario Jorge","","","","","Oscar Mario Jorge","La Pampa","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1983-12-10","1989-12-10","year","year"
"Antonio Mucci","","","","","Antonio Mucci","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1983-10-12","1984-04-24","",""
"Aldo Carlos Neri","","","","","Aldo Carlos Neri","Argentina","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","1983-12-10","1986-04-15","",""
"Juan Manuel Casella","","","","","Juan Manuel Casella","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1984-04-24","1984-10-31","",""
"Hugo M. Barrionuevo","","","","","Hugo M. Barrionuevo","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1984-10-31","1987-03-27","",""
"Juan Vital SOURROUILLE","","","","","Juan Vital SOURROUILLE","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1985-02-19","1989-03-30","",""
"Roque Carranza","","","","","Roque Carranza","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1985-12-10","1986-12-10","year","year"
"Jose Horacio Jaunarena","","","","","Jose Horacio Jaunarena","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1986-06-11","1989-07-11","",""
"Julio Rajneri","","","","","Julio Rajneri","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1986-06-01","1987-09-01","",""
"Germán López","","","","","Germán López","Argentina","","Ministro Defensa","Ministro Defensa","Ministro","Ejecutivo","No Electivo","","Ministro Defensa","Ministro Defensa","Ministro","1986-12-10","1989-12-10","year","year"
"Conrado Storani","","","","","Conrado Storani","Argentina","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","1986-12-10","1989-12-10","year","year"
"Julio Raúl Rajneri","","","","","Julio Raúl Rajneri","Argentina","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","1986-06-30","1987-09-16","",""
"Carlos Alderete","","","","","Carlos Alderete","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1987-03-30","1987-09-16","",""
"Ricardo Barrios Arrechea","","","","","Ricardo Barrios Arrechea","Argentina","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","1987-10-13","1987-09-17","",""
"Enrique Beveraggi","","","","","Enrique Beveraggi","Argentina","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","1987-12-10","1989-12-10","year","year"
"Jorge Federico Sábato","","","","","Jorge Federico Sábato","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1987-09-01","1989-05-01","",""
"Jorge Federico Sábato","","","","","Jorge Federico Sábato","Argentina","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","1987-09-16","1989-05-26","",""
"Ideler S. Tonelli","","","","","Ideler S. Tonelli","Argentina","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","Ejecutivo","No Electivo","","Ministro Trabajo y Seguridad Social","Ministro Trabajo y Seguridad Social","Ministro","1987-09-16","1989-07-07","",""
"Domingo Felipe Cavallo","","","","http://www.iprofesional.com/adjuntos/jpg/2011/08/347926.jpg","Domingo Felipe Cavallo","Argentina","","Ministro relaciones exteriores","Ministro relaciones exteriores","Ministro","Ejecutivo","No Electivo","","Ministro relaciones exteriores","Ministro relaciones exteriores","Ministro","1989-12-10","1991-12-10","year","year"
"Julio Corzo","","","","","Julio Corzo","Argentina","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","Ejecutivo","No Electivo","","Ministro Salud y Acción Social","Ministro Salud y Acción Social","Ministro","1989-07-08","1989-09-23","",""
"Daniel Fernando Filmus","","","","http://cdnv17.radiocut.fm/media/cuts_logos/DanielFilmus.jpg","Daniel Fernando Filmus","Ciudad de Buenos Aires","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1989-12-10","1992-12-10","year","year"
"Jose Gabriel Dumond","","","","","Jose Gabriel Dumond","Argentina","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","Ejecutivo","No Electivo","","Ministro de Educación y Justicia","Ministro de Educación y Justicia","Ministro","1989-05-26","1989-07-07","",""
"Jose Gabriel Dumón","","","","","Jose Gabriel Dumón","Argentina","","Ministro Educación","Ministro Educación","Ministro","Ejecutivo","No Electivo","","Ministro Educación","Ministro Educación","Ministro","1989-05-01","1989-07-01","",""
"Antonio Erman González","","","","","Antonio Erman González","Argentina","","Ministro Economía","Ministro Economía","Ministro","Ejecutivo","No Electivo","","Ministro Economía","Ministro Economía","Ministro","1989-12-15","1991-01-31","",""
